Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Rat,Team_Total_Targets,Target_Share
80,Xavier Legette,23,CAR,WR,16,13,84,49,497,27,385,7.9,112,2.3,12.3,2.0,24.5,7,8.3,86.3,518,16.22
81,Tyler Lockett,32,SEA,WR,17,14,74,49,600,36,466,9.5,134,2.7,10.7,1.0,49.0,4,5.4,77.5,569,13.01
82,Jalen Tolbert,25,DAL,WR,17,15,79,49,610,29,444,9.1,166,3.4,11.5,0.0,,3,3.8,104.9,622,12.7
83,Noah Fant,27,SEA,TE,14,9,64,48,500,25,223,4.6,277,5.8,5.4,2.0,24.0,1,1.6,82.8,569,11.25
84,Adam Thielen,34,CAR,WR,10,10,62,48,615,28,463,9.6,152,3.2,11.0,1.0,48.0,2,3.2,107.9,518,11.97
85,James Conner,29,ARI,RB,16,16,55,47,414,17,-69,-1.5,483,10.3,-1.6,12.0,3.9,2,3.6,88.9,523,10.52
86,Stefon Diggs,31,HOU,WR,8,8,64,47,496,31,311,6.6,185,3.9,8.7,3.0,15.7,3,4.7,104.7,547,11.7
87,Evan Engram,30,JAX,TE,9,9,64,47,365,17,215,4.6,150,3.2,5.4,0.0,,4,6.3,92.3,522,12.26
88,Bucky Irving,22,TAM,RB,17,3,52,47,392,16,-136,-2.9,528,11.2,-2.7,6.0,7.8,1,1.9,98.1,563,9.24
89,Cole Kmet,25,CHI,TE,17,16,55,47,474,25,293,6.2,181,3.9,7.1,1.0,47.0,1,1.8,119.2,527,10.44
90,Kyle Pitts,24,ATL,TE,17,15,74,47,602,21,330,7.0,272,5.8,8.6,4.0,11.8,4,5.4,84.4,539,13.73
91,Tre Tucker,23,LVR,WR,17,14,81,47,539,24,331,7.0,208,4.4,12.7,3.0,15.7,2,2.5,85.4,592,13.68
92,Michael Wilson,24,ARI,WR,16,13,71,47,548,27,418,8.9,130,2.8,11.4,1.0,47.0,3,4.2,90.6,523,13.58
93,Romeo Doubs,24,GNB,WR,13,12,72,46,601,33,466,10.1,135,2.9,12.3,4.0,11.5,7,9.7,97.0,464,15.52
94,Kenneth Walker III,24,SEA,RB,11,11,53,46,299,19,-64,-1.4,363,7.9,-1.2,5.0,9.2,2,3.8,88.6,569,9.31
95,Rashod Bateman,25,BAL,WR,17,14,72,45,756,35,572,12.7,184,4.1,13.6,0.0,,4,5.6,125.9,457,15.75
96,Austin Hooper,30,NWE,TE,17,8,59,45,476,25,251,5.6,225,5.0,5.8,3.0,15.0,1,1.7,102.1,500,11.8
97,Olamide Zaccheaus,27,WAS,WR,17,6,64,45,506,26,222,4.9,284,6.3,6.3,7.0,6.4,5,7.8,109.2,504,12.7
98,Dalton Kincaid,25,BUF,TE,13,9,75,44,448,23,174,4.0,274,6.2,7.5,4.0,11.0,6,8.0,84.7,495,15.15
99,Amari Cooper,30,2TM,WR,14,10,85,44,547,25,436,9.9,111,2.5,12.3,1.0,44.0,12,14.1,77.9,481,17.67
99,Amari Cooper,30,CLE,WR,6,6,53,24,250,11,193,8.0,57,2.4,12.1,1.0,24.0,10,18.9,64.2,634,8.36
99,Amari Cooper,30,BUF,WR,8,4,32,20,297,14,243,12.2,54,2.7,12.6,0.0,,2,6.3,100.7,495,6.46
100,Kayshon Boutte,22,NWE,WR,15,13,68,43,589,25,439,10.2,150,3.5,14.5,1.0,43.0,4,5.9,93.3,500,13.6
101,Chuba Hubbard,25,CAR,RB,15,15,54,43,171,10,-74,-1.7,245,5.7,-1.2,7.0,6.1,2,3.7,86.0,518,10.42
102,Tutu Atwell,25,LAR,WR,17,5,62,42,562,29,436,10.4,126,3.0,11.2,0.0,,3,4.8,82.9,541,11.46
103,Zach Charbonnet,23,SEA,RB,17,6,52,42,340,6,-37,-0.9,377,9.0,-0.9,0.0,,0,0.0,92.3,569,9.14
104,Dallas Goedert,29,PHI,TE,10,10,52,42,496,20,239,5.7,257,6.1,6.8,2.0,21.0,1,1.9,111.2,418,12.44
105,Justice Hill,27,BAL,RB,15,0,51,42,383,17,-55,-1.3,438,10.4,-0.5,5.0,8.4,2,3.9,109.4,457,11.16
106,Isaiah Likely,24,BAL,TE,16,9,58,42,477,26,221,5.3,256,6.1,8.0,3.0,14.0,2,3.4,131.2,457,12.69
107,DAndre Swift,25,CHI,RB,17,17,52,42,386,12,-19,-0.5,405,9.6,0.0,2.0,21.0,3,5.8,89.6,527,9.87
108,T.J. Hockenson,27,MIN,TE,10,9,62,41,455,30,310,7.6,145,3.5,8.4,1.0,41.0,2,3.2,74.3,517,11.99
109,Tony Pollard,27,TEN,RB,16,16,57,41,238,9,17,0.4,221,5.4,0.1,2.0,20.5,8,14.0,72.1,507,11.24
110,Devaughn Vele,27,DEN,WR,13,7,55,41,475,26,348,8.5,127,3.1,8.4,0.0,,3,5.5,118.4,549,10.02
111,Ameer Abdullah,31,LVR,RB,16,3,47,40,261,16,9,0.2,252,6.3,0.7,2.0,20.0,0,0.0,111.1,592,7.94
112,Jordan Akins,32,CLE,TE,17,6,58,40,390,20,213,5.3,177,4.4,6.0,1.0,40.0,1,1.7,91.9,634,9.15
113,Noah Gray,25,KAN,TE,17,10,49,40,437,25,227,5.7,210,5.3,6.2,0.0,,2,4.1,120.8,572,8.57
114,Brenton Strange,24,JAX,TE,17,10,53,40,411,21,228,5.7,183,4.6,6.4,3.0,13.3,3,5.7,109.9,522,10.15
