Player,Age,Team,G,Tgt,Rec,Yds,Target_Share,CATCHABLE,AIR,team_air,air_pct,RZ TGT,RZ_REC,RZ_REC_PCT,RZ_P_TD,RZ_TGT_PCT,Routes Run,FPTS,FPTS/G,XFP,fpts_diff,RTD,TD/G,XTD,td_diff,WOPR,VOR,YPRR
parker washington,22,JAX,17,51,32,390,9.77,33.0,572.0,3784,15.12,6.0,2.0,33.3%,1.0,15.0%,336.0,97.0,5.7,5.6,0.1,3.0,0.2,0.17,0.03,0.25,-7.3,1.16
nick westbrook-ikhine,27,TEN,17,60,32,497,11.83,36.0,689.0,4023,17.13,9.0,7.0,70.0%,6.0,38.5%,408.0,135.7,9.7,6.4,3.3,9.0,0.5,0.26,0.24,0.3,-3.3,1.22
mack hollins,31,BUF,17,50,31,378,10.1,34.0,555.0,3994,13.9,7.0,4.0,66.7%,4.0,15.8%,317.0,98.8,5.8,5.8,0.0,5.0,0.3,0.22,0.08,0.25,-7.2,1.19
liljordan humphrey,26,DEN,17,45,31,293,8.2,34.0,293.0,3912,7.49,5.0,2.0,33.3%,0.0,13.6%,252.0,64.3,4.6,4.5,0.1,1.0,0.1,0.1,0.0,0.18,-8.4,1.16
ricky pearsall,24,SFO,11,46,31,400,8.97,31.0,525.0,3098,16.95,7.0,5.0,83.3%,1.0,13.3%,259.0,93.5,8.5,7.7,0.8,3.0,0.3,0.18,0.12,0.25,-4.5,1.54
demarcus robinson,30,LAR,17,64,31,505,11.83,32.0,911.0,3552,25.65,11.0,5.0,50.0%,5.0,22.7%,496.0,123.5,7.3,8.3,-1.0,7.0,0.4,0.46,-0.06,0.36,-5.7,1.02
curtis samuel,28,BUF,14,46,31,253,9.29,32.0,212.0,3994,5.31,6.0,3.0,50.0%,1.0,15.8%,198.0,63.7,4.6,5.8,-1.2,1.0,0.1,0.15,-0.05,0.18,-8.4,1.28
kavontae turpin,28,DAL,17,52,31,420,8.36,33.0,444.0,4089,10.86,7.0,3.0,42.9%,1.0,15.2%,193.0,104.2,6.1,5.5,0.6,2.0,0.1,0.15,-0.05,0.2,-6.9,2.18
dyami brown,25,WAS,16,40,30,308,7.94,32.0,282.0,3189,8.84,4.0,1.0,25.0%,0.0,11.1%,222.0,67.4,4.5,4.9,-0.4,1.0,0.1,0.15,-0.05,0.18,-8.5,1.39
keon coleman,21,BUF,13,57,29,556,11.52,33.0,869.0,3994,21.76,8.0,4.0,36.4%,2.0,28.9%,287.0,111.5,8.6,9.6,-1.0,4.0,0.3,0.46,-0.16,0.33,-4.4,1.94
cedric tillman,24,CLE,11,49,29,339,7.73,32.0,546.0,4491,12.16,5.0,2.0,40.0%,1.0,17.2%,260.0,80.4,7.3,7.5,-0.2,3.0,0.3,0.25,0.05,0.2,-5.7,1.3
christian watson,25,GNB,15,53,29,620,11.42,31.0,943.0,3707,25.44,8.0,2.0,25.0%,1.0,17.4%,232.0,105.3,7.0,7.4,-0.4,2.0,0.1,0.3,-0.2,0.35,-6.0,2.67
kendrick bourne,29,NWE,12,38,28,305,7.6,32.0,353.0,2508,14.07,2.0,1.0,50.0%,1.0,10.0%,255.0,65.1,5.4,6.3,-0.9,1.0,0.1,0.18,-0.08,0.21,-7.6,1.2
troy franklin,21,DEN,16,53,28,263,9.65,31.0,690.0,3912,17.64,5.0,4.0,57.1%,2.0,15.9%,236.0,67.1,4.2,5.9,-1.7,2.0,0.1,0.2,-0.1,0.27,-8.8,1.11
jalen nailor,25,MIN,17,42,28,414,8.12,32.0,483.0,3612,13.37,7.0,4.0,57.1%,4.0,14.6%,357.0,103.0,6.1,5.1,1.0,6.0,0.4,0.25,0.15,0.22,-6.9,1.16
christian kirk,28,JAX,8,47,27,379,9.0,28.0,644.0,3784,17.02,5.0,2.0,40.0%,1.0,12.5%,203.0,70.9,8.9,11.8,-2.9,1.0,0.1,0.39,-0.29,0.25,-4.1,1.87
brandin cooks,31,DAL,10,54,26,259,8.68,27.0,634.0,4089,15.51,8.0,2.0,50.0%,2.0,8.7%,267.0,69.6,7.0,10.4,-3.4,3.0,0.3,0.43,-0.13,0.24,-6.0,0.97
tyler johnson,26,LAR,15,41,26,291,7.58,27.0,229.0,3552,6.45,10.0,2.0,25.0%,0.0,18.2%,196.0,61.1,5.6,4.7,0.9,1.0,0.1,0.17,-0.07,0.16,-7.4,1.48
malik washington,23,MIA,14,36,26,223,6.34,28.0,210.0,2790,7.53,2.0,2.0,100.0%,0.0,5.6%,214.0,54.8,3.9,4.4,-0.5,0.0,0.1,0.07,0.03,0.15,-9.1,1.04
brandon aiyuk,26,SFO,7,47,25,374,9.16,30.0,572.0,3098,18.46,6.0,3.0,50.0%,0.0,13.3%,187.0,62.4,8.9,12.1,-3.2,0.0,0.0,0.29,-0.29,0.27,-4.1,2.0
van jefferson,28,PIT,17,40,24,276,8.7,24.0,465.0,3111,14.95,8.0,5.0,62.5%,2.0,25.0%,342.0,63.6,4.2,4.5,-0.3,2.0,0.1,0.17,-0.07,0.24,-8.8,0.81
john metchie,24,HOU,13,37,24,254,6.76,24.0,333.0,4229,7.87,7.0,5.0,62.5%,1.0,21.6%,224.0,55.4,4.3,5.0,-0.7,1.0,0.1,0.18,-0.08,0.16,-8.7,1.13
rashee rice,24,KAN,4,29,24,288,5.07,25.0,156.0,2706,5.76,2.0,2.0,100.0%,1.0,4.1%,,64.9,16.2,9.8,6.4,2.0,0.4,0.09,0.31,0.12,3.2,
adonai mitchell,22,IND,17,55,23,312,11.18,27.0,773.0,4444,17.39,5.0,0.0,0.0%,0.0,17.9%,193.0,53.8,3.2,6.8,-3.6,0.0,0.0,0.27,-0.27,0.29,-9.8,1.62
justin watson,28,KAN,17,32,22,289,5.59,24.0,482.0,2706,17.81,3.0,4.0,100.0%,2.0,8.2%,333.0,62.9,3.9,3.4,0.5,2.0,0.1,0.11,-0.01,0.21,-9.1,0.87
jordan whittington,24,LAR,15,28,22,293,5.18,22.0,107.0,3552,3.01,2.0,0.0,0.0%,0.0,2.3%,119.0,52.5,3.5,3.5,0.0,0.0,0.0,0.09,-0.09,0.1,-9.5,2.46
