Rk,Player,Age,Team,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,TK LOSS,TK LOSS YDS,REC,TGT,RZ TGT_x,Rush TD,Rec TD,Rec YDS,FPTS,FPTS/G,RZ YDS,RZ TD,RZ PCT,RZ REC,RZ TGT_y,RZ REC TD,RZ REC TGT PCT,RZ FPTS,RZ FPTS/G,XFP,TD/G,XTD,fpts_diff,tds_diff
88,sean tucker,23,TAM,RB,17,0,50,308,17,179,3.6,129,2.6,5,10.0,1.0,-1.0,9.0,12.0,0.0,2.0,1.0,109.0,68.7,4.0,16.0,2.0,8.2%,0.0,0.0,0.0,0.0%,13.6,0.8,3.8,0.3,0.14,0.2,0.16
89,jamaal williams,29,NOR,RB,14,1,48,164,11,92,1.9,72,1.5,0,,8.0,-14.0,9.0,11.0,1.0,1.0,0.0,57.0,37.1,2.7,27.0,1.0,15.2%,0.0,1.0,0.0,12.5%,8.7,0.6,2.9,0.1,0.1,-0.2,0.0
90,justice hill,27,BAL,RB,15,0,47,228,14,90,1.9,138,2.9,6,7.8,5.0,-10.0,42.0,51.0,8.0,1.0,3.0,383.0,127.1,8.5,9.0,0.0,9.7%,6.0,8.0,2.0,61.5%,25.1,1.7,6.2,0.2,0.13,2.3,0.07
92,kimani vidal,23,LAC,RB,10,0,43,155,7,83,1.9,72,1.7,3,14.3,3.0,-6.0,5.0,9.0,0.0,0.0,1.0,62.0,32.7,3.3,5.0,0.0,8.8%,0.0,0.0,0.0,0.0%,0.5,0.1,3.7,0.1,0.06,-0.4,0.04
97,ty johnson,27,BUF,RB,17,1,41,213,13,106,2.6,107,2.6,2,20.5,5.0,-7.0,18.0,25.0,6.0,1.0,3.0,284.0,91.7,5.4,30.0,1.0,11.9%,5.0,7.0,2.0,53.8%,30.5,1.8,4.1,0.2,0.17,1.3,0.03
98,dameon pierce,24,HOU,RB,11,0,40,293,7,77,1.9,216,5.4,6,6.7,1.0,-1.0,2.0,4.0,1.0,2.0,0.0,2.0,43.5,4.0,4.0,0.0,3.1%,0.0,0.0,0.0,0.0%,0.4,0.0,2.7,0.2,0.05,1.3,0.15
100,sincere mccormick,24,LVR,RB,5,2,39,183,10,90,2.3,93,2.4,5,7.8,5.0,-9.0,6.0,7.0,1.0,0.0,0.0,29.0,27.2,6.8,9.0,0.0,10.4%,1.0,1.0,0.0,12.5%,2.2,0.6,5.7,0.0,0.17,1.1,-0.17
101,kendre miller,22,NOR,RB,6,2,39,148,11,55,1.4,93,2.4,6,6.5,8.0,-20.0,5.0,8.0,0.0,1.0,0.0,33.0,29.1,4.2,0.0,1.0,6.5%,0.0,0.0,0.0,0.0%,6.0,0.9,5.7,0.2,0.07,-1.5,0.13
102,patrick taylor,26,SFO,RB,13,1,39,183,11,89,2.3,94,2.4,0,,1.0,-3.0,3.0,11.0,1.0,1.0,0.0,25.0,29.8,3.3,36.0,1.0,14.7%,0.0,1.0,0.0,10.0%,9.6,1.1,6.0,0.1,0.3,-2.7,-0.2
103,chris brooks,24,GNB,RB,15,0,36,183,12,74,2.1,109,3.0,6,6.0,1.0,-1.0,11.0,13.0,3.0,1.0,0.0,69.0,42.2,3.2,33.0,1.0,10.0%,2.0,3.0,0.0,33.3%,11.4,0.9,3.5,0.1,0.1,-0.3,0.0
104,khalil herbert,26,2TM,RB,14,1,36,130,10,74,2.1,56,1.6,0,,2.0,-2.0,10.0,11.0,3.0,1.0,0.0,25.0,31.5,2.6,4.0,1.0,10.2%,0.0,0.0,0.0,0.0%,6.4,0.5,3.2,0.1,0.18,-0.6,-0.08
104,khalil herbert,26,CHI,RB,6,0,8,16,3,6,0.8,10,1.3,0,,2.0,-2.0,10.0,11.0,3.0,1.0,0.0,25.0,31.5,2.6,4.0,1.0,10.2%,0.0,0.0,0.0,0.0%,6.4,0.5,3.2,0.1,0.18,-0.6,-0.08
104,khalil herbert,26,CIN,RB,8,1,28,114,7,68,2.4,46,1.6,0,,2.0,-2.0,10.0,11.0,3.0,1.0,0.0,25.0,31.5,2.6,4.0,1.0,10.2%,0.0,0.0,0.0,0.0%,6.4,0.5,3.2,0.1,0.18,-0.6,-0.08
105,michael carter,25,ARI,RB,3,1,35,131,9,81,2.3,50,1.4,1,35.0,2.0,-2.0,11.0,11.0,2.0,1.0,0.0,57.0,35.8,9.0,8.0,0.0,5.2%,0.0,0.0,0.0,0.0%,0.8,0.2,,,,,
107,chris rodriguez,24,WAS,RB,9,0,35,173,10,62,1.8,111,3.2,1,35.0,1.0,-3.0,1.0,1.0,0.0,2.0,0.0,12.0,31.5,3.9,40.0,2.0,12.8%,0.0,0.0,0.0,0.0%,16.0,2.0,3.8,0.3,0.27,0.1,0.03
108,hassan haskins,25,LAC,RB,17,0,34,89,13,39,1.1,50,1.5,0,,0.0,0.0,3.0,3.0,0.0,2.0,1.0,49.0,32.8,2.2,11.0,1.0,12.3%,0.0,0.0,0.0,0.0%,7.1,0.5,2.8,0.2,0.29,-0.6,-0.09
109,tyler goodson,24,IND,RB,16,0,32,153,6,93,2.9,60,1.9,0,,3.0,-3.0,11.0,15.0,2.0,1.0,1.0,61.0,44.4,2.8,12.0,1.0,8.1%,2.0,2.0,1.0,28.6%,16.7,1.0,2.8,0.1,0.11,0.0,-0.01
